Amps,Volts,State,Aux #1,Aux #2,Capacity
0,3.58983749,2,40.11519,38.83156,100
0,3.50316625,2,40.13894,38.83156,100
0,3.47661555,2,40.11519,38.81969,100
0,3.45952544,2,40.13894,38.87901,100
0,3.44731823,2,40.15081,38.90273,100
0,3.43724727,2,40.15081,38.87901,100
0,3.4290074,2,40.12707,38.84342,100
0,3.42198825,2,40.18644,38.89087,100
0,3.41618982,2,40.19831,38.92646,100
0,3.41100175,2,40.18644,38.90273,100
0,3.40611887,2,40.19831,38.90273,100
0,3.40215152,2,40.18644,38.90273,100
0,3.39818418,2,40.22206,38.93832,100
0,3.39482719,2,40.22206,38.93832,100
0,3.39177539,2,40.19831,38.92646,100
0,3.38872358,2,40.19831,38.93832,100
0,3.38658732,2,40.23393,38.90273,100
0,3.3838407,2,40.19831,38.93832,100
0,3.38170443,2,40.18644,38.93832,100
0,3.37926299,2,40.19831,38.95018,100
0,3.37773709,2,40.22206,38.95018,100
0,3.37621118,2,40.19831,38.95018,100
0,3.3743801,2,40.15081,38.90273,100
0,3.3728542,2,40.18644,38.90273,100
0,3.37193866,2,40.18644,38.90273,100
0,3.37010758,2,40.18644,38.87901,100
0,3.36919203,2,40.15081,38.85528,100
0,3.36797131,2,40.15081,38.84342,100
0,3.36675059,2,40.15081,38.85528,100
0,3.36583505,2,40.17456,38.83156,100
0,3.36430915,2,40.12707,38.79597,100
0,3.36339361,2,40.13894,38.79597,100
0,3.36308843,2,40.13894,38.79597,100
0,3.36217288,2,40.12707,38.77225,100
0,3.36156252,2,40.12707,38.78411,100
0,3.36064698,2,40.11519,38.79597,100
0,3.36003662,2,40.11519,38.79597,100
0,3.35912108,2,40.07957,38.77225,100
0,3.35851072,2,40.09145,38.73666,100
0,3.35790036,2,40.09145,38.74852,100
0,3.35698482,2,40.07957,38.71293,100
0,3.35698482,2,40.04395,38.7248,100
0,3.35667964,2,40.04395,38.7248,100
0,3.3557641,2,40.0677,38.7248,100
0,3.35545892,2,40.04395,38.68921,100
0,3.35454337,2,40.0202,38.66549,100
0,3.35423819,2,40.03208,38.6299,100
0,3.35362783,2,40.03208,38.64176,100
0,3.35332265,2,40.03208,38.68921,100
0,3.35332265,2,40.00833,38.67735,100
0,3.35271229,2,40.00833,38.67735,100
0,3.35271229,2,40.00833,38.68921,100
0,3.35179675,2,40.00833,38.67735,100
0,3.35179675,2,39.97271,38.6299,100
0,3.35149157,2,39.98458,38.58245,100
0,3.35088121,2,39.96083,38.61803,100
